Ilge,Machine Improvisation with Formal Specifications,"['Donz\xc3\xa9, Alexandre', ' Valle, Rafael', ' Akkaya, Ilge', ' Libkind, Sophie', ' Seshia, Sanjit A.', ' Wessel, David']"
Chih-Fang,A Research of Automatic Composition and Singing Voice Synthesis System for Taiwanese Popular Songs,"['Huang, Chih-Fang', ' Hong, Wei-Gang', ' Li, Min\xe2\x80\x93Hsuan']"
Wei-Gang,A Research of Automatic Composition and Singing Voice Synthesis System for Taiwanese Popular Songs,"['Huang, Chih-Fang', ' Hong, Wei-Gang', ' Li, Min\xe2\x80\x93Hsuan']"
Min–Hsuan,A Research of Automatic Composition and Singing Voice Synthesis System for Taiwanese Popular Songs,"['Huang, Chih-Fang', ' Hong, Wei-Gang', ' Li, Min\xe2\x80\x93Hsuan']"
Cheng-i,Toward Real-Time Estimation of Tonehole Configuration,"['Smyth, Tamara', ' Wang, Cheng-i']"
Goffredo,Visualization and manipulation of stereophonic audio signals by means of IID and IPD,"['Presti, Giorgio', ' Haus, Goffredo', ' Mauro, Davide A.']"
Naotoshi,LC: A New Computer Music Programming Language with Three Core Features,"['NISHINO, Hiroki', ' OSAKA, Naotoshi', ' NAKATSU, Ryohei']"
Jan-Torsten,Using natural language to specify sound parameters,"['Milde, Jan-Torsten']"
Carmine-Emanuele,Vuza: a functional language for creative applications,"['Cella, Carmine-Emanuele']"
Sarah-Indriyati,"3DMIN — Challenges and Interventions in Design, Development and Dissemination of New Musical Instruments","['Bovermann, Till', ' Hinrichsen, Amelie', ' Hildebrand Marques Lopes, Dominik', ' de Campo, Alberto', ' Egermann, Hauke', ' Foerstel, Alexander', ' Hardjowirogo, Sarah-Indriyati', ' Pysiewicz, Andreas', ' Weinzierl, Stefan']"
Kiyomitsu,"Data Auditorio: Towards Intense Interaction, an Interactive Hyper-Directional Sound for Play and Ubiquity","['Misawa, Daichi', ' Odai, Kiyomitsu']"
Damián,Ecologically grounded multimodal design: The Palafito 1.0 study,"['Keller, Dami\xc3\xa1n', ' Timoney, Joseph', ' Constalonga, Leandro L.', ' Capasso, Ariadna', ' Tinajero, Patricia', ' Lazzarini, Victor', ' Soares Pimenta, Marcelo', ' de Lima, Maria Helena', ' Johann, Marcelo']"
Hamzeen,Implementation and Evaluation of Real-Time Interactive User Interface Design in Self-learning Singing Pitch Training Apps,"['Lin, Kin Wah Edward', ' Anderson, Hans', ' Hamzeen, Hamzeen', ' Lui, Simon']"
Berardina,Recommending Music to Groups in Fitness Classes,"['De Carolis, Berardina', ' Ferilli, Stefano', ' Orio, Nicola']"
Yoshinari,A PIANO LEARNING SUPPORT SYSTEM CONSIDERING MOTIVATION,"['Fukuya, Yuto', ' Takegawa, Yoshinari', ' Yanagi, Hidekatsu']"
Hidekatsu,A PIANO LEARNING SUPPORT SYSTEM CONSIDERING MOTIVATION,"['Fukuya, Yuto', ' Takegawa, Yoshinari', ' Yanagi, Hidekatsu']"
Zeyu,FORMAL SEMANTICS FOR MUSIC NOTATION CONTROL FLOW,"['Jin, Zeyu', ' Dannenberg, Roger']"
Naotoshi,LC : A STRONGLY-TIMED PROTOTYPE-BASED PROGRAMMING LANGUAGE FOR COMPUTER MUSIC,"['NISHINO, Hiroki', ' OSAKA, Naotoshi', ' NAKATSU, Ryohei']"
Naotoshi,UNIT-GENERATORS CONSIDERED HARMFUL (FOR MICROSOUND SYNTHESIS): A NOVEL PROGRAMMING MODEL FOR MICROSOUND SYNTHESIS IN LCSYNTH,"['NISHINO, Hiroki', ' OSAKA, Naotoshi', ' NAKATSU, Ryohei']"
Jingyin,LOCATIVE SONIFICATION: PLAYING THE WORLD THROUGH CITYGRAM,"['Park, Tae Hong', ' Turner, Johnathan', ' Jacoby, Christopher', ' Marse, Alex', ' Musick, Michael', ' Kapur, Ajay', ' He, Jingyin']"
Se-Lien,ENHANCED PHENOTYPE,"['Weixler, Andreas', ' Chuang, Se-Lien']"
Tsung-Ching,GLASS TUBE GAMELAN DESIGN FOR PREPARATION ON INSTALLATION ART APPLICATIONS,"['Liu, Tsung-Ching', ' Yang, Cheng-Han', ' Yan, Bing-Shr']"
Bing-Shr,GLASS TUBE GAMELAN DESIGN FOR PREPARATION ON INSTALLATION ART APPLICATIONS,"['Liu, Tsung-Ching', ' Yang, Cheng-Han', ' Yan, Bing-Shr']"
Zeyu,FORMAL SEMANTICS FOR MUSIC NOTATION CONTROL FLOW,"['Jin, Zeyu', ' Dannenberg, Roger']"
Sever,COMPOSING WITH SIEVES: STRUCTURE AND INDETERMINACY IN-TIME.,"['Tipei, Sever']"
Lonce,"SONICBARD – STORYTELLING WITH REAL-TIME SOUND CONTROL, SYNTHESIS AND PROCESSING USING EMERGING BROWSER-BASED TECHNOLOGIES","['Wyse, Lonce', ' Shinghal, Pallav']"
Unknown,A BRIDGE FROM NOWHERE (8’44’’),"['Unknown, Unknown']"
Ping-Jui,Light Sensor Piano,"['Huang, Ping-Jui', ' Tseng, Yu-Chung']"
Yu-Chung,Light Sensor Piano,"['Huang, Ping-Jui', ' Tseng, Yu-Chung']"
Bongjun,PROBABILISTIC PREDICTION OF RHYTHMIC CHARACTERISTICS IN MARKOV CHAIN-BASED MELODIC SEQUENCES,"['Kim, Bongjun', ' Yeo, Woon Seung']"
Naotoshi,CONSTRUCTION OF AN ELECTRONIC TIMBRE DICTIONARY IN C++ FOR MULTIPLE PLATFORMS,"['Osaka, Naotoshi', ' Tsuda, Hiromichi', ' Yamada, Yoshitada']"
Yoshitada,CONSTRUCTION OF AN ELECTRONIC TIMBRE DICTIONARY IN C++ FOR MULTIPLE PLATFORMS,"['Osaka, Naotoshi', ' Tsuda, Hiromichi', ' Yamada, Yoshitada']"
Takyuto,"DIPS5 FOR MAX: Digital Image Processing with Sound, version 5","['Rai, Takayuki', ' Matsuda, Shu', ' Morimoto, Yota', ' Takahashi, Keitaro', ' Fukuda, Takyuto']"
Naotoshi,A FORMAL EVALUATION FRAMEWORK FOR SOUND MORPHING,"['Caetano, Marcelo', ' Osaka, Naotoshi']"
Naotoshi,TIME/PITCH MODIFICATION USING NARROWBAND AM-FM SIGNALS,"['Osaka, Naotoshi', ' Mita, Atsushi']"
Lonce,FOUNDATIONS OF INTERACTIVE SOUND DESIGN FOR TRADITIONAL STORYTELLING,"['Wyse, Lonce', ' Subramanian, Srikumar']"
Yoshinari,A SYSTEM FOR MEMORIZING SONGS BY PRESENTING MUSICAL STRUCTURES BASED ON PHRASE SIMILARITY,"['Ito, Yuma', ' Takegawa, Yoshinari', ' Terada, Tsutomu', ' Tsukamoto, Masahiko']"
Sangbong,"CENTER FOR COMPUTER MUSIC AT THE COLLEGE-CONSERVATORY OF MUSIC, UNIVERSITY OF CINCINNATI","['Helmuth, Mara', ' Matthys, Joel', ' Schuette, Paul', ' Nam, Sangbong', ' Martinson, Benny']"
Meinard,PROBADO MUSIC: A MULTIMODAL ONLINE MUSIC LIBRARY,"['Thomas, Verena', ' Damm, David', ' Fremerey, Christian', ' Clausen, Michael', ' Kurth, Frank', ' Mu\xcc\x88ller, Meinard']"
Yoshinari,A PIANO LEARNING SUPPORT SYSTEM CONSIDERING RHYTHM,"['Takegawa, Yoshinari', ' Terada, Tsutomu', ' Tsukamoto, Masahiko']"
Dalei,REAL-TIME AUDIO SYNTHESIS IN A WIRELESS INTERACTIVE SENSOR PLATFORM,"['Fang, Dalei', ' Qin, Yi', ' Chen, Qiangbin', ' Lu, Jialiang']"
Qiangbin,REAL-TIME AUDIO SYNTHESIS IN A WIRELESS INTERACTIVE SENSOR PLATFORM,"['Fang, Dalei', ' Qin, Yi', ' Chen, Qiangbin', ' Lu, Jialiang']"
Jialiang,REAL-TIME AUDIO SYNTHESIS IN A WIRELESS INTERACTIVE SENSOR PLATFORM,"['Fang, Dalei', ' Qin, Yi', ' Chen, Qiangbin', ' Lu, Jialiang']"
