,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
29,"Ballora, Mark",Mark,male,USA,2015,1,Studio Report: Music Technology at the Pennsylvania State University,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
30,"Wright,  Geoffrey; Boyle,  McGregor; Armenta, Joshua; Woodward, Ryan; Xia, Sunhuimei",Geoffrey,male,USA,2015,5,Peabody Computer Music: 46 Years of Looking to the Future,ICMC,McGregor,None,Joshua,male,Ryan,male,Sunhuimei,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,0.99,0.99,None,,,,,,,,,,,,
31,"Paine, Garth; Moon, Barry",Garth,male,USA,2015,2,Studio Report: Arizona State University,ICMC,Barry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,,,,,,,,,,,,,,,
32,"Kuivila, Ron; Matthusen, Paula",Ron,male,USA,2015,2,Wesleyan University Electronic Music Studios Report,ICMC,Paula,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,
33,"Blokkum Flø, Asbjørn; Wilmers, Hans",Asbjørn,male,USA,2015,2,The Intrinsic Value of Timbre in Doppelganger,ICMC,Hans,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,
34,"Soria-Luz, Rosalia",Rosalia,female,USA,2015,1,State Space Models: Virtual World for Composition,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
35,"Hsu, Jennifer; Smyth, Tamara",Jennifer,female,USA,2015,2,Specifying Sounding Frequency of a Voice Model during Live Interactive Saxophone Performance,ICMC,Tamara,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36,"Mooore, Adrian",Adrian,male,USA,2015,1,Cross-Modality in Multi-Channel Acousmatic Music: The Physical and Virtual in Music Where There Is Nothing to See,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,
37,"Nyström, Erik",Erik,male,USA,2015,1,Low-Level Topology of Spatial Texture,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
38,"You, Jaeseong; Telichan, Andrew; Hong Park, Tae",Jaeseong,None,USA,2015,3,Developing a Socio-Historical Model for Electro-Acoustic Music Analysis: The Challenge from an Adornian Perspective,ICMC,Andrew,male,Tae,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.57,,,,,,,,,,,,,,
39,"Lee, Kyungho; J. Junokas, Michael; Amanzadeh, Mohammad; E. Garnett, Guy",Kyungho,None,USA,2015,4,Exploratory Analysis on Expressions in Two Different 4/4 Beat Patterns,ICMC,Michael,male,Mohammad,male,Guy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,1.0,,,,,,,,,,,,,
40,"Long, Jason; Bailey, Josh; McVay, James; Carnegie, Dale A.; Kapur, Ajay",Jason,male,USA,2015,5,Improving the Musical Expressiveness of Tesla Coils with Software,ICMC,Josh,male,James,male,Dale,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,0.91,0.99,,,,,,,,,,,,
41,"Hua, Willian; Salgian, Andrea",Willian,male,USA,2015,2,Automatic Transcription of Japanese Taiko Drumming Using the Microsoft Kinect,ICMC,Andrea,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.79,,,,,,,,,,,,,,,
42,"Wu, Dekai; Addanki, Karteek",Dekai,None,USA,2015,2,Neural Versus Symbolic Rap Battle Bots,ICMC,Karteek,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
43,"Ballora, Mark",Mark,male,USA,2015,1,Piece Description: Growth of the Universe (in log time),ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
44,"Madgwick, Sebastian; Mitchell, Thomas; Barreto, Carlos; Freed, Adrian",Sebastian,male,USA,2015,4,Simple Synchronisation for Open Sound Control,ICMC,Thomas,male,Carlos,male,Adrian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.97,,,,,,,,,,,,,
