Gender1F,Gender1M,Place,Year,NumberOfAuthors,Conference,Gender2F,Gender2M,Gender3F,Gender3M,Gender4F,Gender4M,Gender5F,Gender5M,Gender6F,Gender6M,Gender7F,Gender7M,Gender8F,Gender8M,Gender9F,Gender9M,Gender10F,Gender10M,Gender11F,Gender11M,Gender12F,Gender12M,Gender13F,Gender13M,Gender14F,Gender14M,Gender15F,Gender15M,Gender16F,Gender16M,Gender17F,Gender17M,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,Title
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alex Hofmann' 'Bernt Isak Waerstad' 'Saranya Balasubramanian' 'Kristoffer E. Koch'],From interface design to the software instrument --- Mapping as an approach to FX-instrument building
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Marco Marchini' 'François Pachet' 'Benoît Carré'],Rethinking Reflexive Looper for structured pop music
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Victor Zappi' 'Andrew Allen' 'Sidney Fels'],Shader-based Physical Modelling for the Design of Massive Digital Musical Instruments
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['David Johnson' 'George Tzanetakis'],VRMin: Using Mixed Reality to Augment the Theremin for Musical Tutoring
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Richard Graham' 'Brian Bridges' 'Christopher Manzione' 'William Brent'],Exploring Pitch and Timbre through 3D Spaces: Embodied Models in Virtual Reality as a Basis for Performance Systems Design
0,1,Copenhagen  Denmark,2017,1,NIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Michael Gurevich'],Discovering Instruments in Scores: A Repertoire-Driven Approach to Designing New Interfaces for Musical Expression
0,1,Copenhagen  Denmark,2017,1,NIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Joe Cantrell'],Designing Intent: Defining Critical Meaning for NIME Practitioners
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Juan Vasquez' 'Koray Tahiroğlu' 'Johan Kildal'],Idiomatic Composition Practices for New Musical Instruments: Context   Background and Current Applications
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Florent Berthaut' 'Cagan Arslan' 'Laurent Grisoni'],Revgest: Augmenting Gestural Musical Instruments with Revealed Virtual Objects
0,1,Copenhagen  Denmark,2017,1,NIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Akito van Troyer'],MM-RT: A Tabletop Musical Instrument for Musical Wonderers
