Gender1Female,Place,Year,NumberOfAuthors,Conference,,Gender2,,Gender3,,Gender4,,Gender5,,Gender6,,Gender7,,Gender8,,Gender9,,Gender10,,Gender11,,Gender12,,Gender13,,Gender14,,Gender15,,Gender16,,Gender17,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,FirstName1stAuthor,Title
male,USA,2015,4,ICMC,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Lee, Kyungho; J. Junokas, Michael; Amanzadeh, Mohammad; E. Garnett, Guy",Kyungho,Exploratory Analysis on Expressions in Two Different 4/4 Beat Patterns
male,USA,2015,5,ICMC,,male,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"Long, Jason; Bailey, Josh; McVay, James; Carnegie, Dale A.; Kapur, Ajay",Jason,Improving the Musical Expressiveness of Tesla Coils with Software
male,USA,2015,2,ICMC,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Hua, Willian; Salgian, Andrea",Willian,Automatic Transcription of Japanese Taiko Drumming Using the Microsoft Kinect
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Wu, Dekai; Addanki, Karteek",Dekai,Neural Versus Symbolic Rap Battle Bots
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Ballora, Mark",Mark,Piece Description: Growth of the Universe (in log time)
male,USA,2015,4,ICMC,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Madgwick, Sebastian; Mitchell, Thomas; Barreto, Carlos; Freed, Adrian",Sebastian,Simple Synchronisation for Open Sound Control
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Deusany de Carvalho Junior, Antonio; Queiroz, Marcelo; Essl, Georg",Antonio,Computer Music through the Cloud: Evaluating a Cloud Service for Collaborative Computer Music Applications
male,USA,2015,4,ICMC,,male,,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,,,,,,"Ito, Akinori; Watanabe, Kengo; Kuroda, Genki; Ito, Kenâ€°_«_„ichiro",Akinori,iSuperColliderKit: A Toolkit for iOS Using an Internal SuperCollider Server as a Sound Engine
male,USA,2015,4,ICMC,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Anderson, Hans; Wah Edward Lin, Kin; So, Clifford; Lui, Simon",Hans,Flatter Frequency Response from Feedback Delay Network Reverbs
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Walker, Timothy M.",Timothy,Hierarchical Genomes in a Genetic Algorithm for Control of a Guitar Synthesizer
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"McGee, Ryan",Ryan,Spatial Modulation Synthesis
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Solomon, Michael; Liska, Urs; Ba_‚_Œa, Trevor",Michael,Initial Survey Results from The LilyPond Consortium
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Ahn, Jae hyun; Dudas, Richard",Jae,Physical Modeling Synthesis of the Stone Chime Instrument â€°_«_ŸPyeongyeongâ€°_«Ñœ
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Thibault, Dominic",Dominic,"fXfD, A Digital Approach to the No-Input Practice"
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Erbe, Tom",Tom,Building the Erbe-Verb: Extending the Feedback Delay Network Reverb for Modular Synthesizer Use
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Sullivan, John",John,Noisebox: Design and Prototype of a New Digital Musical Instrument
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Carpentier, Thibaut; Noisternig, Markus; Warusfel, Olivier",Thibaut,"Twenty Years of Ircam Spat: Looking Back, Looking Forward"
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"James, Stuart",Stuart,Spectromorphology and Spatiomorphology of Sound Shapes: Audio-Rate AEP and DBAP Panning of Spectra
None,USA,2015,4,ICMC,,male,,None,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,"Tae Hoon, Lee; Reddy Vuyyuru, Manish; Kumar, Ananda T.; Lui, Simon",Lee,Binaural Navigation for the Visually Impaired with a Smartphone
