AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Nakamura, Hiromi', ' Nakano, Tomoyasu', ' Fukayama, Satoru', ' Goto, Masataka']",Hiromi,female,South Korea,2018,4,Chordscanner: Browsing Chord Progressions Based on Musical Typicality and Intra-composer Consistency,ICMC,Tomoyasu,male,Satoru,male,Masataka,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.0,0.99,1.0,,,,,,,,,,,,,,
"['Majumder, Sanjay', ' Smith, Benjamin D.']",Sanjay,male,South Korea,2018,2,Music Recombination Using a Genetic Algorithm,ICMC,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Rafferty, David']",David,male,South Korea,2018,1,Structured Cell: a Work in Space,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Lee, Cheng']",Cheng,male,South Korea,2018,1,Digital Ensemble Skills in a Laptop Orchestra,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,
"['Sinclair, Peter']",Peter,male,South Korea,2018,1,Locustream Open Microphone Project,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Musick, Michael']",Michael,male,South Korea,2018,1,"A Physically-distinct, Multi-agent, Sonic Space Ecosystem",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Villée, Guillaume', ' Le Vaillant, Gwendal']",Guillaume,male,South Korea,2018,2,Music Making Mobile Application Using Geometry,ICMC,Gwendal,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,,,,,,,,,,,,,,,,
"['Au, Chun-Ming', ' Horner, Andrew']",Chun-Ming,male,South Korea,2018,2,Music Production Mobile App with Voice-to-MIDI Feature,ICMC,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Normandeau, Robert', ' Bélanger, Olivier', ' Lengelé, Christophe', ' Ledoux, David']",Robert,male,South Korea,2018,4,"SPATGRIS/SERVERGRIS, Creative Tools for 2D and 3D Sound Spatialization",ICMC,Olivier,male,Christophe,male,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Lengelé, Christophe']",Christophe,male,South Korea,2018,1,Live 4 Life - A Spatial Performance Tool Focused On Rhythm And Parameter Loops,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Rios, Ian', ' Hamilton, Rob']",Ian,male,South Korea,2018,2,Nething: An Educational Open-source Web-based Graphical User Interface for Controlling Ambisonic And Wave Field Speaker Arrays,ICMC,Rob,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Stillwell, Austin', ' Park, Tae Hong']",Austin,male,South Korea,2018,2,Data Visualization and Analysis for Stage Monitoring Systems,ICMC,Hong,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.65,,,,,,,,,,,,,,,,
"['Fasciani, Stefano', ' Rahman, Habibur']",Stefano,male,South Korea,2018,2,Tangible Virtual Patch Cords,ICMC,Habibur,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"['Levicán, Constanza', ' Belaúnde, Vernon', ' Vega, Alberto', ' Aparicio, Andrés', ' Cádiz, Rodrigo F.']",Constanza,female,South Korea,2018,5,ENOBIO2OSC: Brain-computer Interface for Musical Creation,ICMC,Vernon,male,Alberto,male,Andrés,None,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,0.0,0.99,,,,,,,,,,,,,
"['Steinmeier, Christine', ' Becking, Dominic']",Christine,female,South Korea,2018,2,Rainbow Blob: Augmented Handpan Using Leap Motion and Oculus Rift,ICMC,Dominic,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Tignor, Christopher']",Christopher,male,South Korea,2018,1,"“Chorale” Violin Harmonization: A Practical, Compositionally-based System for Generating Live Harmonies",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Berdahl, Edgar']",Edgar,male,South Korea,2018,1,Dipole Instruments for Sketching in Hardware with Embedded Acoustics,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Sin, Wing Lam', ' Ma, Xiaojuan', ' Horner, Andrew']",Wing,male,South Korea,2018,3,The Emotional Characteristics of Rain Sound Effects,ICMC,Xiaojuan,female,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.97,0.99,,,,,,,,,,,,,,,
"['Chan, Hiu Ting', ' Mo, Ronald', ' Chau, Chuck Jee', ' Horner, Andrew']",Ting,female,South Korea,2018,4,The Emotional Characteristics of Section String Instruments with Different Pitch and Dynamics,ICMC,Ronald,male,Chuck,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.99,0.98,0.99,,,,,,,,,,,,,,
"['Eigenfeldt, Arne']",Arne,male,South Korea,2018,1,Imaginary Miles: Modeling Musebots After Musicians,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Hong, Yu', ' Mo, Ronald', ' Horner, Andrew']",Yu,male,South Korea,2018,3,"The Effects of Mode, Pitch, and Dynamics on Valence in Piano Scales and Chord Progressions",ICMC,Ronald,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.99,0.99,,,,,,,,,,,,,,,
"['Pfalz, Andrew', ' Berdahl, Edgar', ' Allison, Jesse']",Andrew,male,South Korea,2018,3,Using Recurrent Neural Networks to Dream Sequences of Audio,ICMC,Edgar,male,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.91,,,,,,,,,,,,,,,
"['Lee, Myungin']",Myungin,male,South Korea,2018,1,Deep Neural Network Based Music Source Conducting System,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,
"['Ramirez, Rafael', ' Giraldo, Sergio', ' Vamvakousis, Zacharias']",Rafael,male,South Korea,2018,3,An Expressive Brain-computer Music Interface for Musical Neurofeedback,ICMC,Sergio,male,Zacharias,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Connors, Teresa Marie']",Teresa,female,South Korea,2018,1,The Lure Towards the Performative in Nonlinear Audiovisual Installations,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Boren, Braxton', ' Musick, Michael']",Braxton,male,South Korea,2018,2,Spatial Organization in Musical Form,ICMC,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.99,,,,,,,,,,,,,,,,
"['Akkermann, Miriam']",Miriam,female,South Korea,2018,1,Is This How It Sounded? The Idea of ‘Historic Informed Performance Practice’ in Early Mixed Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Pedersen, Anders Bach']",Anders,male,South Korea,2018,1,Populous Oscillation: Variety in Interactive Evolutionary Computation for Music Improvisation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
