AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Peter Ahrendt', ' Christian C. Bach', ' Sofia Dahl']",Peter,male,Finland,2017,3,Does Singing a Low-Pitch Tone Make You Look Angrier?,ICMC,Christian,male,Sofia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Juan Carlos Vasquez', ' Koray Tahiroğlu', ' Niklas Pöllönen', ' Johan Kildal', ' Teemu Ahmaniemi']",Juan,male,Finland,2017,5,Monitoring and Supporting Engagement in Skilled Tasks: From Creative Musical Activity to Psychological Wellbeing,ICMC,Koray,male,Niklas,male,Johan,male,Teemu,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,1.0,0.99,1.0,,,,,,,,,,,,,
"['Alexander Refsum Jensenius', ' Agata Zelechowska', ' Victor Gonzalez Sanchez']",Alexander,male,Finland,2017,3,The Musical Influence on People's Micromotion when Standing Still in Groups,ICMC,Agata,female,Victor,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Zhiyan Duan', ' Chitralekha Gupta', ' Graham Percival', ' David Grunberg and Ye Wang']",Zhiyan,female,Finland,2017,4,SECCIMA: Singing and Ear Training for Children with Cochlear Implants via a Mobile Application,ICMC,Chitralekha,female,Graham,male,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.0,0.99,0.99,,,,,,,,,,,,,,
"['Miroslav Malik', ' Sharath Adavanne', ' Konstantinos Drossos', ' Tuomas Virtanen', ' Dasa Ticha', ' Roman Jarina']",Miroslav,male,Finland,2017,6,Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition,ICMC,Sharath,male,Konstantinos,male,Tuomas,male,Dasa,female,Roman,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.9,0.98,,,,,,,,,,,,
"['Kristian Nymoen', ' Anne Danielsen', ' Justin London']",Kristian,male,Finland,2017,3,Validating Attach Phase Descriptors Obtained by the Timbre Toolbox and MIRtoolbox,ICMC,Anne,female,Justin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.98,,,,,,,,,,,,,,,
"['Jongpil Lee', ' Jiyoung Park', ' Keunhyoung Luke Kim', ' Juhan Nam']",Jongpil,male,Finland,2017,4,Sample-Level Deep Convolutional Neural Networks for Music Auto-Tagging Using Raw Waveforms,ICMC,Jiyoung,female,Keunhyoung,male,Juhan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.93,0.67,0.97,,,,,,,,,,,,,,
"['Marius Miron', ' Jordi Janer', ' Emilia Gómez']",Marius,male,Finland,2017,3,Generating Data to Train Convolutional Neural Networks for Classical Music Source Separation,ICMC,Jordi,male,Emilia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Marian Weger', ' David Pirrò', ' Robert Höldrich']",Marian,male,Finland,2017,3,Evaluation of an Acoustic Interface for Tremor Analysis,ICMC,David,male,Robert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.99,0.99,,,,,,,,,,,,,,,
"['Emma Frid', ' Roberto Bresin', ' Eva-Lotta Sallnäs Pysander', ' Jonas Moll']",Emma,female,Finland,2017,4,An Exploratory Study on the Effect of Auditory Feedback on Gaze Behavior in a Virtual Throwing Task with and without Haptic Feedback,ICMC,Roberto,male,Eva-Lotta,female,Jonas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.99,1.0,0.99,,,,,,,,,,,,,,
['Felipe Orduña-Bustamante'],Felipe,male,Finland,2017,1,Auralization in Space and in Rooms of Arbitrary D Dimensions,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Federico Fontana', ' Debora Scappin', ' Federico Avanzini', ' Mattia Bernardi', ' Devid Bianco', ' Giorgio Klauer']",Federico,male,Finland,2017,6,"Auditory, Visual and Somatosensory Localization of Piano Tones: a Preliminary Study",ICMC,Debora,female,Federico,male,Mattia,male,Devid,male,Giorgio,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.98,0.99,0.99,,,,,,,,,,,,
"['Otso Lähdeoja', ' Josué Moreno']",Otso,male,Finland,2017,2,SONIC GREENHOUSE - Considerations on a Large-Scale Audio-Architectural Installation,ICMC,Josué,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,,,,,,,,,,,,,,,,
['Victor Lazzarini'],Victor,male,Finland,2017,1,The CSOUND Plugin Opcode Framework,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Johnty Wang', ' Joseph Malloch', ' Stéphane Huot', ' Fanny Chevalier', ' Marcelo Wanderley']",Johnty,male,Finland,2017,5,Versioning and Annotation Support for Collaborative Mapping Design,ICMC,Joseph,male,Stéphane,male,Fanny,female,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,0.97,0.99,,,,,,,,,,,,,
"['Yevgen Mexin', ' Aristotelis Hadjakos', ' Axel Berndt', ' Simon Waloschek', ' Anastasia Wawilow', ' Gerd Szwillus']",Yevgen,male,Finland,2017,6,Tools for Annotatiing Musical Measures in Digital Music Editions,ICMC,Aristotelis,male,Axel,male,Simon,male,Anastasia,female,Gerd,male,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.98,0.98,0.98,0.93,,,,,,,,,,,,
"['Liang Chen', ' Christopher Raphael']",Liang,male,Finland,2017,2,Renotation of Optical Music Recognition Data,ICMC,Christopher,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.99,,,,,,,,,,,,,,,,
['Filipe Lopes'],Filipe,male,Finland,2017,1,WALLACE: Composing Music for Variable Reverberation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Rod Selfridge', ' David Moffat', ' Joshua D. Reiss']",Rod,male,Finland,2017,3,Real-Time Physical Model for Synthesis of Sword Sounds,ICMC,David,male,Joshua,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.99,,,,,,,,,,,,,,,
"['Robert Albrecht', ' Jussi Jaatinen', ' Tapio Lokki']",Robert,male,Finland,2017,3,Electronic Hearing Protection for Musicians,ICMC,Jussi,male,Tapio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,1.0,,,,,,,,,,,,,,,
"['Silvin Willemsen', ' Stefania Serafin', ' Jesper Rindom Jensen']",Silvin,male,Finland,2017,3,Virtual Analog Simulation and Extensions of Plate Reverberation,ICMC,Stefania,female,Jesper,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.99,0.99,,,,,,,,,,,,,,,
"['Augoustinos Tsiros', ' Grégory Leplâtre']",Augoustinos,male,Finland,2017,2,The Effectiveness of Two Audiovisual Mappings to Control a Concatenative Synthesiser,ICMC,Grégory,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"['Jonas Holfelt', ' Gergely Csapo', ' Nikolaj Andersson', ' Sohejl Zabetian', ' Michael Castanieto', ' Daniel Overholt', ' Sofia Dahl', ' Cumhur Erkut']",Jonas,male,Finland,2017,8,"Extraction, Mapping, and Evaluation of Expressive Acoustic Features for Adaptive Digital Audio Effects",ICMC,Gergely,male,Nikolaj,male,Sohejl,male,Michael,male,Daniel,male,Sofia,female,Cumhur,male,,,,,,,,,,,,,,,,,,,0.99,0.96,0.99,1.0,0.99,0.99,0.98,0.97,,,,,,,,,,
"['Fabián Esqueda', ' Henri Pöntynen', ' Julian D. Parker', ' Stefan Bilbao']",Fabián,None,Finland,2017,4,Virtual Analog Model of the Lockhart Wavefolder,ICMC,Henri,male,Julian,male,Stefan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.98,0.98,0.98,,,,,,,,,,,,,,
"['Daniel Bisig', ' Philippe Kocher']",Daniel,male,Finland,2017,2,Musical Approaches for Working with Time-Delayed Feedback Networks,ICMC,Philippe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Simone Pappalardo', ' Andrea Valle']",Simone,male,Finland,2017,2,Electric Grammars. Algorithmic Design and Construction of Experimental Music Circuits,ICMC,Andrea,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.62,,,,,,,,,,,,,,,,
"['Mitsuyo Hashida', ' Eita Nakamura', ' Haruhiro Katayose']",Mitsuyo,female,Finland,2017,3,Constructing PEDB 2nd Edition: A Music Performance Database with Phrase Information,ICMC,Eita,male,Haruhiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.73,1.0,,,,,,,,,,,,,,,
"['Martin Hartmann', ' Olivier Lartillot', ' Petri Toiviainen']",Martin,male,Finland,2017,3,Musical Feature and Novelty Curve Characterizations as Predictors of Segmentation Accuracy,ICMC,Olivier,male,Petri,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.84,,,,,,,,,,,,,,,
"['Andrew McLeod', ' Mark Steedman']",Andrew,male,Finland,2017,2,Meter Detection in Symbolic Music Using a Lexicalized PCFG,ICMC,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Taegyun Kwon', ' Dasaem Jeong', ' Juhan Nam']",Taegyun,male,Finland,2017,3,Audio-to-Score Alignment of Piano Music Using RNN-Based Automatic Music Transcription,ICMC,Dasaem,female,Juhan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.97,,,,,,,,,,,,,,,
"['Gen Hori', ' Shigeki Sagayama']",Gen,male,Finland,2017,2,Lp-Viterbi Algorithm for Automatic Fingering Decision,ICMC,Shigeki,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.0,,,,,,,,,,,,,,,,
"['Andrea Valle', ' Mauro Lanza']",Andrea,male,Finland,2017,2,Systema Naturae: Shared Practices Between Physical Computing and Algorithmic Composition,ICMC,Mauro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.99,,,,,,,,,,,,,,,,
"['Ken Déguernel', ' Jérôme Nika', ' Emmanuel Vincent', ' Gérard Assayag']",Ken,male,Finland,2017,4,Generating Equivalent Chord Progressions to Enrich Guided Improvisation: Application to Rhythm Changes,ICMC,Jérôme,male,Emmanuel,male,Gérard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.99,1.0,,,,,,,,,,,,,,
['Torsten Anders'],Torsten,male,Finland,2017,1,A Constraint-Based Framework to Model Harmony for Music Composition,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Gleb Rogozinsky', ' Mihail Chesnokov', ' Eugene Cherny']",Gleb,male,Finland,2017,3,pch2csd: an Application for Converting Nord Modular G2 Patches into Csound Code,ICMC,Mihail,male,Eugene,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.95,,,,,,,,,,,,,,,
['Flavio Everardo'],Flavio,male,Finland,2017,1,Towards an Automated Multitrack Mixing Tool Using Answer Set Programming,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Johnty Wang', ' Robert Pritchard', ' Bryn Nixon', ' Marcelo M. Wanderley']",Johnty,male,Finland,2017,4,Explorations with Digital Control of MIDI-enabled Pipe Organs,ICMC,Robert,male,Bryn,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.96,0.99,,,,,,,,,,,,,,
"['Léopold Crestel', ' Philippe Esling']",Léopold,None,Finland,2017,2,"Live Orchestral Piano, a System for Real-Time Orchestral Music Generation",ICMC,Philippe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,,,,,,,,,,,,,,,,
"['Yuta Ojima', ' Tomoyasu Nakano', ' Satoru Fukayama', ' Jun Kato', ' Masataka Goto', ' Katsutoshi Itoyama', ' Kazuyoshi Yoshii']",Yuta,male,Finland,2017,7,A Singing Instrument for Real-Time Vocal-Part Arrangement of Music and Audio Signals,ICMC,Tomoyasu,male,Satoru,male,Jun,male,Masataka,male,Katsutoshi,male,Kazuyoshi,male,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.99,0.9,1.0,1.0,1.0,,,,,,,,,,,
"['Jennifer MacRitchie', ' Andrew J. Milne']",Jennifer,female,Finland,2017,2,Evaluation of the Learnability and Playability of Pitch Layouts in New Musical Instruments,ICMC,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
['Stefano Fasciani and Manohar Vohra '],Stefano,male,Spain,2019,1,Towards a High-Performance Platform for Sonic Interaction Interfaces ,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
['Doga Cavdir '],Doga,female,Spain,2019,1,S1.2.  Digital Manufacturing for Musical Applications: A Survey of Current Status and Future Outlook,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,
