Gender,Place,Year,NumberOfAuthors,Conference,Gender2,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender12,Gender13,Gender14,Gender15,Gender16,Gender17
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Portugal,2009,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,4,SMC,male,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,5,SMC,male,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,5,SMC,male,female,male,male,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Portugal,2009,5,SMC,male,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Portugal,2009,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Portugal,2009,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Spain,2010,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Spain,2010,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Spain,2010,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Spain,2010,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Spain,2010,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
