,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
31,Oliver Hancock,Oliver,male,Netherlands,2016,1,163 a Band is Born: a digital learning game for Max/MSP,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
32,David Johnson; Isabelle Dufour; Daniela Damian; George Tzanetakis,David,male,Netherlands,2016,4,167 Detecting Pianist Hand Posture Mistakes for Virtual Piano Tutoring,ICMC,Isabelle,female,Daniela,female,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,0.99,,,,,,,,,,,,,
33,Daniel Scanteianu; Errick Jackson;  Robert M. Keller,Daniel,male,Netherlands,2016,3,171 A Fluid Chord Voicing Generator,ICMC,Errick,male,Robert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
34,Richard Hoadley,Richard,male,Netherlands,2016,1,176 How To Play the Piano,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
35,Stefano Kalonaris,Stefano,male,Netherlands,2016,1,181 Markov Networks for Free Improvisers,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36,Matías Zabaljáuregui; Diego Dorado,Matías,None,Netherlands,2016,2,186 Opensemble: A collaborative ensemble of open source music,ICMC,Diego,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
37,Adrien L’ Honoré Nabe,Adrien,male,Netherlands,2016,1,191 Designing a Digital Gamelan,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,
38,Edward Kelly,Edward,male,Netherlands,2016,1,195 Wavefolding: Modulation of Adjustable Symmetry in Sawtooth and Triangular Waveforms,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
39,Richard Dudas; Pete Furniss,Richard,male,Netherlands,2016,2,199 Towards an Aesthetic of Instrumental Plausibility for Mixed Electronic Music,ICMC,Pete,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
40,Eva Sjuve,Eva,female,Netherlands,2016,1,203 Noise in the Clouds,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
